"cleanedTweets","tweet","timestamp","Date","score","sentiment"
"buy t shirt off t shirt off grab this one now","#Ajio buy 5 t shirt @ 70% off 3 t shirt @ 60% off Grab this one now https://t.co/RkCST5uT3M",2017-08-29 12:45:11,2017-08-29,0,"neutral"
"flat off on clothing footwear amp accessories at along with on your shopping visit gt gt","Flat 70% Off on Clothing, Footwear &amp; Accessories at #Ajio along with 20% #Cashback on your shopping visit &gt;&gt; https://t.co/l8bM4wAt7r",2017-08-29 11:50:07,2017-08-29,1,"positive"
"ajio coupons get rs off on purchase above rs","Ajio coupons: Get Rs.400 off on purchase above Rs.1990 https://t.co/4ybOfJKCil https://t.co/4bPKeenwoJ",2017-08-28 22:24:18,2017-08-28,0,"neutral"
"buy at off or buy at off on tee to tango clothing ajio","Buy 3 at 60% Off or Buy 5 at 70%Off on Tee To Tango Clothing - Ajio https://t.co/16EjtRku8K",2017-08-28 15:08:04,2017-08-28,0,"neutral"
"ajio top brands clothing amp footwear extra off on rs","AJIO Top Brands Clothing &amp; Footwear Extra 40% Off on Rs. 2999 https://t.co/szLOLmc679",2017-08-28 15:00:21,2017-08-28,1,"positive"
"ajio tees buy get off buy get off ajio tees to tango offer","Ajio Tees Buy 3 Get 60% off, Buy 5 Get 70% off – Ajio Tees to Tango Offer https://t.co/HKVJxt8YFo",2017-08-28 15:00:19,2017-08-28,0,"neutral"
"ajio graphic print t shirt  rs","AJIO Graphic Print T-shirt @ Rs.300 https://t.co/TItgcC0frv https://t.co/IOYog7qZRH",2017-08-28 14:51:01,2017-08-28,0,"neutral"
"get the best offers on headphones at get klippd cashback frm","Get the best offers on headphones at @AJIOLife +Get 9% Klippd cashback frm https://t.co/9V0nR9SZjT
#CanvasInfinity… https://t.co/q54BFlKigD",2017-08-28 12:07:55,2017-08-28,2,"positive"
"buy at off on ajio printed crew neck t shirt ajio","Buy 5 at 70% Off on AJIO Printed Crew-Neck T-shirt - Ajio https://t.co/oBZGYxz4En",2017-08-28 12:04:04,2017-08-28,0,"neutral"
"ajio printed crew neck t shirt  rs","AJIO Printed Crew-Neck T-shirt @ Rs.250 https://t.co/yfZJ5e9VmX https://t.co/gX9eSClSZh",2017-08-28 12:02:12,2017-08-28,0,"neutral"
"get rs off on purchase above rs use coupon code fire at","# Get Rs.400 off on purchase above Rs.1990. Use coupon code FIRE at https://t.co/GxudfGHgL8",2017-08-28 11:21:07,2017-08-28,0,"neutral"
"download and run the app ajio online shopping app","Download and run the app AJIO Online Shopping App: https://t.co/XRivuAndIc",2017-08-28 08:36:54,2017-08-28,0,"neutral"
"i liked a video","I liked a @YouTube video https://t.co/TQGbuBFYRd Ajio Shopping Haul - Try On and My Experience",2017-08-28 08:33:17,2017-08-28,1,"positive"
"sent pakage aftr a mnth nd didnt delivr is even bettr dan","@myntra @amazon @ajio @mytra sent pakage aftr a mnth nd didnt delivr. #HenryandSmith #ajio is even bettr dan… https://t.co/Hn9kV79xZS",2017-08-27 18:50:49,2017-08-27,0,"neutral"
"someone bought new sneakers 
ajio is really good everything from customer service to packaging","Someone bought new sneakers! 
AJIO is really good. Everything from customer service to packaging… https://t.co/fbdaBDvEdz",2017-08-27 18:41:16,2017-08-27,1,"positive"
"delivery guy behved rudly nd canclld my order nw de suggest to reorder delivers even delivers bt ka ठसक है","@myntra delivery guy behved rudly nd canclld my order. Nw de suggest to reorder. @amazon delivers, even @ajio delivers. Bt @myntra ka ठसक है",2017-08-27 18:35:52,2017-08-27,0,"neutral"
"fusion outfit ideas for ajio","FUSION OUTFIT IDEAS FOR 2017|| AJIO: https://t.co/tJKuAL6Im9 via @YouTube",2017-08-27 13:39:23,2017-08-27,0,"neutral"
"printed t shirt off grab this offer here gt gt","#Ajio printed t-shirt @ 70% off Grab this offer here &gt;&gt; https://t.co/UUIPiSKCgP",2017-08-27 11:20:09,2017-08-27,0,"neutral"
"select from a range of items at make your styling partner grab at","Select from a range of #handpicked #fashion items at #Ajio. Make #Ajio your styling partner. Grab #bestdeals at https://t.co/rk7FfODtHo",2017-08-27 07:21:41,2017-08-27,0,"neutral"
"from 
now available on","#colourblocked #sneakers from #knottyderby !
Now available on #Ajio !
#stayyoung #staynaughty https://t.co/Nwvx0ryLiJ",2017-08-26 17:34:08,2017-08-26,1,"positive"
"ajio shopping haul my experience","Ajio Shopping Haul – My Experience! https://t.co/myoJ49ibXS https://t.co/EoLNgLK7Y6",2017-08-26 06:34:13,2017-08-26,0,"neutral"
"gstin unregistered 
why is it happening ajio should provide gstin on bills","@AJIOLife GSTIN Unregistered.
Why is it happening? AJIO should provide GSTIN on bills. 
@askGST_GoI @GST_Council… https://t.co/jeMe9NAePd",2017-08-26 04:29:17,2017-08-25,0,"neutral"
"wrangler checked shirt with patch pocket off","WRANGLER Checked Shirt with Patch Pocket 50% OFF #AJIO https://t.co/t5oGQav8a9 via @Cuelinks",2017-08-25 10:13:15,2017-08-25,0,"neutral"
"voi jeans checked shirt with elbow patches off","VOI JEANS Checked Shirt with Elbow Patches 50% OFF #AJIO  https://t.co/X67QYxQ9iQ via @Cuelinks",2017-08-25 10:11:20,2017-08-25,0,"neutral"
"voi jeans
checked shirt with flap pocket off","VOI JEANS
Checked Shirt with Flap Pocket 50% OFF https://t.co/7Z5DQCXkff via @Cuelinks",2017-08-25 10:09:31,2017-08-25,0,"neutral"
"i saw very pretty ones on ajio ikkat blouse material","@Ann_Dee_ @geet0212 @dibbi1804 @itokri I saw very pretty ones on ajio..ikkat blouse material",2017-08-25 03:35:34,2017-08-24,1,"positive"
"i see no difference between my bun and goofy s hat","I see no difference between my bun and Goofy's hat #Ajio https://t.co/xxrV19NSsw",2017-08-24 13:50:05,2017-08-24,0,"neutral"
"lyf gold water f s ls gb worth rs for rs ajio","LYF Gold WATER F1S LS-5201 32GB worth Rs. 9999 for Rs. 7499 - Ajio https://t.co/zxCMqCRDZR",2017-08-24 12:12:06,2017-08-24,2,"positive"
"what to take with you on holiday to dress well","What to take with you on holiday to dress well
https://t.co/bSnfV6lRuV",2017-08-24 10:20:01,2017-08-24,0,"neutral"
"for the fashion frenzy get extra off on top brands get coupon here","For The Fashion Frenzy. Get Extra 40% Off On Top #Fashion Brands @AJIOLife. Get Coupon Here -… https://t.co/ZiLzSnl6RW",2017-08-24 09:40:54,2017-08-24,0,"neutral"
"get rs off on purchase of rs amp above use coupon code fire at","# Get Rs. 400 off on purchase of Rs. 1990 &amp; above. Use coupon code FIRE at https://t.co/GxudfGHgL8",2017-08-24 07:48:50,2017-08-24,0,"neutral"
"special sale minimum off on kid s clothing sale at ajio","Special Sale – Minimum 50% off on Kid’s Clothing – Sale at Ajio ! https://t.co/ysykmJ387b",2017-08-24 07:45:00,2017-08-24,0,"neutral"
"stumbled upon the indie collection on","Stumbled upon the indie collection on https://t.co/kAhURmexYO and I discovered lovely art one can wear. 🙆🏻 Stay… https://t.co/wZlaNLwGkJ",2017-08-24 07:44:58,2017-08-24,0,"neutral"
"amazing sale upto off on exclusive clothing amp footwear for all sale at ajio","Amazing Sale – Upto 70% off on Exclusive Clothing &amp; Footwear for All – Sale at Ajio ! https://t.co/V2GK59TybB",2017-08-24 07:21:07,2017-08-24,1,"positive"
"shop ajio today for online product from the best of india","Shop Ajio today for online product from the best of India
https://t.co/9796rCVyOy https://t.co/5mEsEPbok8",2017-08-24 06:35:04,2017-08-24,1,"positive"
"shop ajio dark woods promotion","Shop AJIO - Dark Woods Promotion #ads #ajio
https://t.co/9796rCVyOy https://t.co/pLZPJDJ3Sj",2017-08-24 06:29:47,2017-08-24,-1,"negative"
"outlet sale up to off on latest fashion line","#Ajio Outlet Sale : Up to 50% OFF On Latest Fashion Line https://t.co/rWea69IZBB Valid till 28-Aug-2017 https://t.co/W4Wpy39buR",2017-08-24 05:45:44,2017-08-24,0,"neutral"
"special offer great discounts flat rs off shop now","Special offer!! Great discounts!! Flat Rs.1000 OFF!! Shop now 😍😀
https://t.co/l8gBYtkKCN
#Ajio #Coupons #Offers… https://t.co/4mB1zrWvwJ",2017-08-24 05:45:18,2017-08-24,1,"positive"
"thankyou love ️ ️ you can check technicolourjewellery on instagram 
ajio and koovs also hav","@aaliznat @BookLuster Thankyou love ♥️♥️ you can check technicolourjewellery on Instagram. 
Ajio and koovs also hav… https://t.co/VcpOUHd1mY",2017-08-24 05:21:04,2017-08-23,1,"positive"
"the fashion festival guide ajio fashion fest","The Fashion Festival Guide | AJIO Fashion Fest!! :  #fashionblogger #fashiontips #suratblogger #indiafashionblogger… https://t.co/qpWm6opQqr",2017-08-24 05:15:55,2017-08-23,0,"neutral"
"love shop as much as you want at get off apparel off coupon extra cashkaro","Love #Fashion? Shop as much as you want at #Ajio! Get 50% Off Apparel+ 40% Off Coupon+ EXTRA 20% CashKaro #Cashback… https://t.co/HrG4i8M05w",2017-08-23 15:30:30,2017-08-23,2,"positive"
"seems like they hung this dude up and to mock him they called the brand a jio where maybe the a stands for aur","Seems like they hung this dude up and to mock him they called the brand 'A-jio' where maybe the 'A' stands for aur?… https://t.co/iC3Ya8L1tW",2017-08-23 14:48:31,2017-08-23,-1,"negative"
"get flat of on purchase of also avail maximum caskback of rs visit","Get flat 20% of on purchase of 4 also avail maximum caskback of Rs1000/- Visit https://t.co/HlQO2Ojgro #jabong… https://t.co/dUqTk3Er2p",2017-08-23 12:43:44,2017-08-23,0,"neutral"
"coupon offer buy two get one free on bras visit","Coupon offer buy two get one free on bras #zivame #ajio #lovezme #cilory #bwitch #enamor. Visit… https://t.co/IMNjk5S02e",2017-08-23 12:37:05,2017-08-23,1,"positive"
"this bag ll definitely go with the collection","#AJIOrecommends 
This bag ll definitely go with the collection.
 https://t.co/tnQqxs4na4",2017-08-23 11:08:15,2017-08-23,0,"neutral"
"bumper offer wrangler shirts flat off extra off free shipping shop more","Bumper @Ajio Offer - WRANGLER Shirts | FLAT 40% - 80% OFF | Extra 40% OFF | Free Shipping| Shop More @… https://t.co/0nva3ngDcc",2017-08-23 10:39:05,2017-08-23,1,"positive"
"recommends 
fourth nd missing is sling bag for girl accordingly","@AJIOLife #AJIO Recommends 
Fourth nd missing is sling bag for girl accordingly https://t.co/KSf1T9MHpY",2017-08-23 09:58:56,2017-08-23,0,"neutral"
"ethnic look book featuring","Ethnic Look Book featuring https://t.co/FiaJFVjeLl ||Look 1 https://t.co/TpwTGpL7dV https://t.co/mt7S3srEik",2017-08-23 09:23:32,2017-08-23,0,"neutral"
"get extra off on at get klippd cashback from","Get extra 40% off on #fashion at @AJIOLife + Get 9% Klippd cashback from https://t.co/9V0nR9SZjT
#LagJaGale… https://t.co/al1ppomzz5",2017-08-23 07:26:52,2017-08-23,1,"positive"
"up to off on fashion accessories and footwear at ajio starts at rs","Up to 70% off on Fashion Accessories and Footwear at Ajio starts at Rs.90 https://t.co/BskRgucLJ1 https://t.co/O6i0NIis9e",2017-08-23 06:31:41,2017-08-23,0,"neutral"
"off on women s ethnic and fusion wear starts at rs at ajio","60% off on Women’s Ethnic and Fusion wear starts at Rs.200 at Ajio https://t.co/epBWvjHpr2 https://t.co/RbGcYs9Gc8",2017-08-23 06:07:50,2017-08-23,0,"neutral"
"minimum off on ajio exclusive clothing and accessories","Minimum 50% off on Ajio Exclusive Clothing and Accessories https://t.co/WMBim0dNQk https://t.co/Us46cLqUQZ",2017-08-23 05:55:34,2017-08-23,0,"neutral"
"flat off on ajio s all hail the sale collection","Flat 50%-80% off on Ajio’s all Hail the Sale Collection https://t.co/OnUssmcqwh https://t.co/iWTwaAwzYJ",2017-08-23 05:40:53,2017-08-23,1,"positive"
"grab this insane deal at amp get upto off off coupon with extra via cashkaro shop via","Grab this INSANE DEAL at #Ajio &amp; get upto 50% Off + 40% Off Coupon with EXTRA 20% #Cashback via CashKaro! Shop via… https://t.co/9YsvPL59Mv",2017-08-22 13:30:11,2017-08-22,0,"neutral"
"flat off on duke men s clothing starts from rs ajio","Flat 50% Off on Duke Men's Clothing Starts from Rs. 250 - Ajio https://t.co/ZEt22Mtjfn",2017-08-22 10:12:04,2017-08-22,0,"neutral"
"ajio online store kurta for women by biba flat off up to cashback on","Ajio online store | Kurta for Women by Biba flat 50% off. Up to 18% Cashback on https://t.co/g6JfDUI4gk… https://t.co/Gn13Ua30S2",2017-08-22 10:06:58,2017-08-22,1,"positive"
