"cleanedTweets","tweet","timestamp","Date","score","sentiment"
"jabong tuesday night rush get extra  off","Jabong Tuesday Night Rush – Get Extra 20% Off https://t.co/YvVbm4pQgr https://t.co/okmAdt1ngC",2017-08-29 13:25:59,2017-08-29,0,"neutral"
"get extra off on ethnic wear 

grab the code at","Get extra 15% off on ethnic wear.

Grab the code at
https://t.co/EWDLENuswy https://t.co/Na4eVSm9Gn",2017-08-29 13:15:31,2017-08-29,0,"neutral"
"ruffled top adding color and texture to your work attire 
shop the collection at","#Junarose ruffled top adding color and texture to your work attire!
Shop the collection at: https://t.co/P0293N535l… https://t.co/FvlKyBb3OY",2017-08-29 13:00:03,2017-08-29,2,"positive"
"store buy latest casual up to","#Jabong #Sneaker Store: Buy Latest Casual #Shoes (Up to 60% #Discount)

https://t.co/tWNVmGuRLq https://t.co/RKN5soODOT",2017-08-29 12:53:28,2017-08-29,0,"neutral"
"jack amp jones brand day upto off","#Jabong Jack &amp; Jones Brand Day Upto 50% Off https://t.co/uT0kxC7dAL https://t.co/QxaxJbR3kL",2017-08-29 12:43:40,2017-08-29,0,"neutral"
"upto off on the on get flat ₹ on purchase made through us 
visit","Upto 70% off on the #clearencesale on #jabong + get flat ₹250 #ringbucketrings on purchase made through us. 
visit… https://t.co/HtB151B2kv",2017-08-29 12:38:18,2017-08-29,0,"neutral"
"when it comes to no online store can beat 
get coupon now gt","When it Comes to #Fashion, No Online Store can Beat @JabongIndia
Get Coupon Now -&gt; https://t.co/0FsliyEOKy
#offer… https://t.co/nwahkUey3m",2017-08-29 12:18:12,2017-08-29,0,"neutral"
"buy at rs on clothing jabong","Buy 3 at Rs.999 on Clothing - Jabong https://t.co/8EH0fkQjhx",2017-08-29 11:36:03,2017-08-29,0,"neutral"
"minimum off on blackberrys men s clothings jabong","Minimum 50% Off on Blackberrys Men's Clothings - Jabong https://t.co/SU8rat0Mxe",2017-08-29 11:20:04,2017-08-29,0,"neutral"
"jabong collaborates with actor vidyut jammwal to engage its employees in a power packed fitness session","Jabong collaborates with actor Vidyut Jammwal to engage its employees in a power-packed fitness session… https://t.co/Mqp9JWnh9M",2017-08-29 10:32:30,2017-08-29,0,"neutral"
