"cleanedTweets","tweet","timestamp","Date","score","sentiment"
"i liked a video","I liked a @YouTube video https://t.co/z77tXije3d Huge Clothing &amp; Accessories haul | Zara Koovs Forever21 Jabong | Perkymegs",2017-08-29 09:38:35,2017-08-29,1,"positive"
"feeling playful snag this koovs collection for an exceptional style score 
shop it here","Feeling playful? Snag this KOOVS collection #backpack for an exceptional style score 🐼
Shop it here:… https://t.co/vuPaRKRnz7",2017-08-29 06:09:19,2017-08-29,1,"positive"
"design in london up to from us","#Koovs Design in London up to 10% #Cashback from us @InOffersMonkey https://t.co/dmhPSY8fQy https://t.co/4lMUcXMWtw",2017-08-28 15:25:01,2017-08-28,1,"positive"
"koovs any items ₹ grab the offer now gt gt","#HotDeal 🔥
Koovs - Any 2 Items ₹799. Grab the offer now &gt;&gt; https://t.co/RKeVl1FqZC https://t.co/ScEOhL8I5L",2017-08-28 13:40:02,2017-08-28,0,"neutral"
"best selling unisex footwear  koovs","Best Selling Unisex Footwear @ Koovs https://t.co/ls4KVH5gI8",2017-08-28 11:41:26,2017-08-28,1,"positive"
"buy two men s footwear for rs koovs","Buy Two Men's Footwear For Rs.799 - Koovs https://t.co/aT8RV5CSgn",2017-08-28 11:20:04,2017-08-28,0,"neutral"
"koovs steal buy any products at rs only","Koovs Steal – Buy any 2 products at Rs 799 only https://t.co/3ZOFHFzpnp",2017-08-28 11:15:58,2017-08-28,-1,"negative"
"find a huge collection of dresses at","Find a huge collection of dresses at #koovs.
https://t.co/GINGAkol3W
#Coupontopay #Deals #Savings #Fashion https://t.co/715cSN0yhN",2017-08-28 09:53:47,2017-08-28,1,"positive"
"big bang sale buy any clothing footwear at just rs free shipping","@Koovs Big Bang Sale : Buy Any 2 Clothing/Footwear at Just Rs. 799 + FREE Shipping @ https://t.co/17YOu7K191… https://t.co/YQ1ijPWe25",2017-08-28 09:53:12,2017-08-28,1,"positive"
"thank you so much for resolving the matter koovs please do take notice t","@mykoovs @jagograhakjago Thank you so much for resolving the matter koovs, @jagograhakjago please do take notice. T… https://t.co/TAgJDGKyRp",2017-08-28 07:27:49,2017-08-28,1,"positive"
