"cleanedTweets","tweet","timestamp","Date","score","sentiment"
"it s time to turn your monsoon blues around for just ₹","It's time to turn your monsoon blues around for just ₹899. 
https://t.co/rYoAjk5EK6
#trendtalk https://t.co/JuzbMl5g3a",2017-08-29 13:07:52,2017-08-29,0,"neutral"
"shop and style the aw collection available on 
 vridhidhamija","Shop and style the aw17 collection available on @myntra 
#Repost vridhidhamija… https://t.co/dRHHnYWc23",2017-08-29 13:02:47,2017-08-29,1,"positive"
"really appreciate the communication made it s truly commendable and a great example for customer satisfac","#myntra. Really appreciate the communication made. It's truly commendable and a great example for customer satisfac… https://t.co/4cWcJV61kQ",2017-08-29 12:55:29,2017-08-29,3,"positive"
"get flat cashback on phonepe using myntra","Get Flat 10% Cashback on Phonepe Using Myntra https://t.co/cJXTOOwd94 https://t.co/3ZuVRvrwqn",2017-08-29 12:51:31,2017-08-29,1,"positive"
"sporty is the new casual 
go athleisure this season with our all new range of t shirts amp shorts here","Sporty is the new casual #AllAboutYou
Go 'athleisure' this season with our all new range of T-shirts &amp; shorts here:… https://t.co/pod38e9BP6",2017-08-29 12:38:29,2017-08-29,1,"positive"
"mumbai still got the order delivered hats off","Mumbai #flooding #sinking still got the order delivered.. hats off @myntra  #MumbaiRains https://t.co/MGnlWw9uUj",2017-08-29 12:38:06,2017-08-29,-1,"negative"
"sure bro we will never purchase from myntra","@Devansh0407 @myntra Sure bro we will never purchase from myntra.",2017-08-29 12:02:16,2017-08-29,0,"neutral"
"really liked items want to buy going for a trip in this saturday confused about the delivery date sigh","@myntra really liked 3 items want to buy, going for a trip in this Saturday.. confused about the delivery date 😔😔😔😔😔😔😔😔😔😔.. sigh.....",2017-08-29 11:47:09,2017-08-29,0,"neutral"
"look what i got from my captain america t shirts","Look what i got from @myntra  .. my Captain  America  t shirts 😍😍 https://t.co/Jm3F4q7G2j",2017-08-29 11:34:53,2017-08-29,0,"neutral"
"despite the havoc in the city still delivers as promised kudos","Despite the havoc in the city @myntra still delivers as promised. Kudos! https://t.co/evtTbkqjyt",2017-08-29 11:18:04,2017-08-29,1,"positive"
"extremely disappointed wid i ordered belts one of and other was ruosh packaging was really disappointing","Extremely disappointed wid @myntra , I ordered 2 belts one of @TommyHilfiger and other was ruosh. Packaging was really disappointing.",2017-08-29 11:13:35,2017-08-29,-2,"negative"
"please deliver my product its been days its in city but not delivered","@myntra Please deliver my product. Its been 3 days its in city but not delivered. https://t.co/YY18jNIFUq",2017-08-29 11:04:40,2017-08-29,0,"neutral"
"i can t access phonepe on my myntra app freezes after clicking the link to verify details","@MyntraSupport I can't access phonepe on my Myntra .App freezes after clicking the link to verify details.",2017-08-29 10:56:22,2017-08-29,-1,"negative"
"would you like to go smart and sleek in beige or carefree and casual in pink 
shop your pick at","Would you like to go smart and sleek in beige, or carefree and casual in pink? 
Shop your pick at… https://t.co/pbl8PDkQ7B",2017-08-29 10:47:14,2017-08-29,4,"positive"
"today courier agent refused return pick up request he said product color is different even i received different color rt","@myntra today courier agent refused return pick up request.he said product color is different. even i received different color. RT 204294972",2017-08-29 10:46:21,2017-08-29,-1,"negative"
