"cleanedTweets","tweet","timestamp","Date","score","sentiment"
"voonik women lehengas online at lowest price

shop now gt gt","Voonik Women Lehengas Online At Lowest Price

Shop Now &gt;&gt; https://t.co/PiQ8C7hwdn

#couponndeal #lehengacholionline… https://t.co/INawYnC0vj",2017-08-29 12:04:03,2017-08-29,0,"neutral"
"the incredible amazon bangalore team from that spawned flipkart infibeam bluestone and voonik","The Incredible Amazon Bangalore Team From 2005 That Spawned Flipkart, Infibeam, Bluestone And Voonik https://t.co/7NgKughYp4",2017-08-29 10:52:13,2017-08-29,1,"positive"
"chargebee credibase one of voonik co founders is also from zoho","@adadithya @akm1410 Chargebee, Credibase. One of Voonik co-founders is also from Zoho https://t.co/fpOLz7qfpp",2017-08-29 09:05:12,2017-08-29,0,"neutral"
"done team","@Voonik Done team",2017-08-29 08:31:54,2017-08-29,0,"neutral"
"i so want it","@Voonik I so want it #AGentleman",2017-08-29 07:51:55,2017-08-29,0,"neutral"
"join in","@Voonik join in @sabanix @anuanu12 @booknworm @thevinny10 
@zennrocks @princessnehh

#AGentleman",2017-08-29 07:51:36,2017-08-29,0,"neutral"
"done","@Voonik DONE",2017-08-29 06:10:11,2017-08-29,0,"neutral"
"results","@Voonik Results??",2017-08-29 04:25:52,2017-08-28,0,"neutral"
"wish to win","@Voonik  #AGentleman wish to win",2017-08-29 04:16:33,2017-08-28,1,"positive"
"shared wish to win","@Voonik Shared wish to win
#ContestAlert  
#AGentleman 😍😍😍",2017-08-29 01:51:28,2017-08-28,0,"neutral"
"join in
if u wish
btw it s the original outfit","@Voonik join in
if u wish
btw it's the Original outfit
@TapooNayak @KothariShaifali @vinodksinghalld #AGentleman… https://t.co/yIptp5xo9T",2017-08-28 18:13:43,2017-08-28,0,"neutral"
"awesome","@heminbhavsar @Voonik Awesome",2017-08-28 18:12:19,2017-08-28,1,"positive"
"join","@Voonik Join #AGentleman #CONTESTALERT
@auk_sanejourno 
@SanaTokre 
@Shraddh9793 
@3Madhvi 
@AnitaYa05853817… https://t.co/TFMEWbnyxj",2017-08-28 18:00:42,2017-08-28,0,"neutral"
"shared i to fingers crossed","@Voonik @Voonik #AGentleman Shared... I #Wish to #WIN... Fingers Crossed... @Gagan29121994",2017-08-28 17:59:32,2017-08-28,1,"positive"
"such a cool story on the early amazon india mafia","Such a cool story on the early Amazon India mafia! https://t.co/2Huc6aXb4U",2017-08-28 15:39:51,2017-08-28,1,"positive"
"liked n shared team join","@Voonik Liked n shared team.. join @Venki_PM 
@seemahasan 
@seemahasan 
@BansalKunjkapil 
@preetiyogesh851 
@Pooja_queens 
@anuragalive",2017-08-28 14:46:41,2017-08-28,1,"positive"
"share this post and win jacqueline fernandez s original outfit from the movie hurry","#CONTESTALERT - Share this post and win Jacqueline Fernandez's ORIGINAL outfit from the movie #AGentleman! Hurry!… https://t.co/ZGedEaVseQ",2017-08-28 13:31:03,2017-08-28,1,"positive"
"shared 🏻","@Voonik Shared ✌🏻

#AGentleman",2017-08-28 13:14:17,2017-08-28,0,"neutral"
"looks amazing 
i wish to own this","@Voonik Looks amazing 😍😍
I wish to own this 😍😍

#AGentleman",2017-08-28 12:59:28,2017-08-28,1,"positive"
"shared admin wish to win","@Voonik #AGentleman

shared admin, wish to win

@godsowntalk @PritishNandy @kk_kutub",2017-08-28 12:45:40,2017-08-28,0,"neutral"
"amazing offer tees amp t shirts for men s starting from rs sale at mr voonik","Amazing Offer – Tees &amp; T-shirts for Men’s Starting from Rs.399 – Sale at Mr Voonik ! https://t.co/HfIe1UnPwJ",2017-08-28 12:28:28,2017-08-28,1,"positive"
"done pinned it to my profile wish to win ️ ️","@Voonik Done! Pinned it to my profile @Voonik #AGentleman Wish to win.. ❤️🙌♥️🙋",2017-08-28 11:41:02,2017-08-28,1,"positive"
"sharing love her outfit ️ wish to win s asli outfit ️ ️","Sharing!! Love her outfit ♥️ Wish to win @Asli_Jacqueline's asli outfit!! 😋😍😘♥️✌️ #AGentleman @Voonik https://t.co/BlVUMMy2LW",2017-08-28 11:32:54,2017-08-28,2,"positive"
"join ladies","@Voonik #CONTESTALERT
#AGentleman @Voonik Join ladies 
@kittupari31 @heta2792 @nax_06",2017-08-28 11:02:12,2017-08-28,0,"neutral"
"office chai published an article on amazon fps team based on my tweet","Office Chai published an article on Amazon FPS team based on my tweet.

https://t.co/vz34HgDuZG",2017-08-28 10:44:29,2017-08-28,0,"neutral"
"share this post to get lucky","@Voonik #CONTESTALERT #AGentleman share this post to get lucky @Sensible_Mona @shrabanti91 @NehaDevjani… https://t.co/RFdddDx7Q7",2017-08-28 10:30:08,2017-08-28,1,"positive"
"shared to get this outfit","@Voonik #CONTESTALERT #AGentleman shared to get this outfit 😍😍😍",2017-08-28 10:10:22,2017-08-28,0,"neutral"
"done wish to get lucky 🤞 ️","@Voonik Done 😊 Wish to get lucky! 🤞♥️

#CONTESTALERT #AGentleman https://t.co/r2BAwtXSpp",2017-08-28 10:09:02,2017-08-28,1,"positive"
"big fan of jacqueline please i just want this lovely outfit","@Voonik #AGentleman big fan of Jacqueline please I just want this lovely outfit https://t.co/HEXVP1KG3O",2017-08-28 10:08:30,2017-08-28,1,"positive"
"liked shared n invited frnds","@Voonik Liked shared n invited frnds #AGentleman",2017-08-28 10:01:10,2017-08-28,1,"positive"
"share this post now friends and win jacqueline fernandez s original outfit","#CONTESTALERT - Share this post now friends and win Jacqueline Fernandez's ORIGINAL outfit  #AGentleman!  @Voonik https://t.co/GeISeAKuZ2",2017-08-28 09:57:36,2017-08-28,1,"positive"
